ID,Barcode,ProductName,Category,SearchDate,BranchID,Branch Name,ItemFoundStatus
2657,9781912634699,This Might Hurt Taro,10211-E New Age,2025-03-15 21:20:08.033,2,Zamalek,Found
2658,9780670919536,Personal MBA,10201-E Management & Leadership,2025-03-15 21:20:55.363,2,Zamalek,Found
2659,9780857197689,The Psychology of Mo,10175-E Finance & Investment,2025-03-15 21:21:01.473,2,Zamalek,Found
2660,9781612681139,Rich Dad Poor dad,10175-E Finance & Investment,2025-03-15 21:21:10.650,2,Zamalek,Found
2661,https://2oolameme.com/pages/kalam-adeep,,,2025-03-15 21:25:47.660,2,Zamalek,Not Found
2662,6224002198143,Kalam Adeep,10420-Cards Games,2025-03-15 21:26:44.087,2,Zamalek,Found
2663,6224002198143,Kalam Adeep,10420-Cards Games,2025-03-15 21:26:47.790,2,Zamalek,Found
2664,6224002198143,Kalam Adeep,10420-Cards Games,2025-03-15 21:26:59.503,2,Zamalek,Found
2665,6224002198143,Kalam Adeep,10420-Cards Games,2025-03-15 21:27:05.290,2,Zamalek,Found
2666,6224002198143,Kalam Adeep,10420-Cards Games,2025-03-15 21:33:41.517,2,Zamalek,Found
2667,9781529032178,Attached,10225-E Relationships,2025-03-15 21:33:52.957,2,Zamalek,Found
2668,9780857199256,Just Keep Buying,10175-E Finance & Investment,2025-03-15 21:43:02.400,2,Zamalek,Found
2669,9780061336454,Secrets of the Milli,10175-E Finance & Investment,2025-03-15 21:43:11.813,2,Zamalek,Found
2670,9781647825034,Good Habits,10149-E Business Technology,2025-03-15 21:43:16.427,2,Zamalek,Found
2671,9780670919536,Personal MBA,10201-E Management & Leadership,2025-03-15 21:43:21.010,2,Zamalek,Found
2672,9781544514215,The Almanack of Nava,10214-E Personal Growth,2025-03-15 21:43:26.280,2,Zamalek,Found
2673,9780857199256,Just Keep Buying,10175-E Finance & Investment,2025-03-15 21:47:12.070,2,Zamalek,Found
2674,9781647825034,Good Habits,10149-E Business Technology,2025-03-15 21:47:23.317,2,Zamalek,Found
2675,9780670919536,Personal MBA,10201-E Management & Leadership,2025-03-15 21:47:38.517,2,Zamalek,Found
2676,9781861972781,48 Laws of Power,10208-E Modern Philosophy,2025-03-15 21:50:22.050,2,Zamalek,Found
2677,9781848132269,Circling Song,10183-E General Fiction,2025-03-15 21:53:08.390,2,Zamalek,Found
2678,9789779924502,قربان ال يونس,10029-A Modern Fiction,2025-03-15 21:55:53.843,3,Heliopolis,Found
2679,9781399713740,Things We Never Got,10226-E Romance,2025-03-15 21:55:58.320,3,Heliopolis,Found
2680,9781638932499,Does It Hurt?,10226-E Romance,2025-03-15 21:57:20.840,3,Heliopolis,Found
2681,9789770939321,رؤى وذات,10008-A Biograpyhy & Correspondance,2025-03-15 21:57:59.850,3,Heliopolis,Found
2682,9789774907999,الحنين إلى أسوأ حديق,10019-A Essays,2025-03-15 22:00:35.903,3,Heliopolis,Found
2683,9780349437996,Love Unwritten,10226-E Romance,2025-03-15 22:00:45.157,3,Heliopolis,Found
2684,9786144259276,موت صغير,10029-A Modern Fiction,2025-03-15 22:01:55.000,3,Heliopolis,Found
2685,9780349437989,Love Redesigned,10226-E Romance,2025-03-15 22:09:54.860,3,Heliopolis,Found
2686,Amin,,,2025-03-15 22:10:07.427,3,Heliopolis,Not Found
2687,9786009939473,Amin et Ses Frères C,10118-CF 6-9,2025-03-15 22:10:22.790,3,Heliopolis,Found
2688,Amin maalouf,,,2025-03-15 22:10:37.057,3,Heliopolis,Not Found
2689,9781399728546,Mile High,10226-E Romance,2025-03-15 22:13:30.570,3,Heliopolis,Found
2690,9781439725306,Gold Inlay Ultra Lin,10391-E Journals,2025-03-15 22:29:39.077,14,Maadi,Found
2691,9786010031142,Small Mugs,10308-Mugs,2025-03-15 22:30:42.583,14,Maadi,Found
2692,9786010004912,Book Sleeve NM,10274-General Book Accessories,2025-03-15 22:42:51.623,3,Heliopolis,Found
2693,6222027707968,A6 Kraft Dotted Set,10312-Notebooks,2025-03-15 22:43:58.527,3,Heliopolis,Found
2694,9789775864277,The Golden Years of,10213-E Performing Arts,2025-03-15 22:54:57.803,14,Maadi,Found
2695,9789775864277,The Golden Years of,10213-E Performing Arts,2025-03-15 22:54:59.900,14,Maadi,Found
2696,9789775864277,The Golden Years of,10213-E Performing Arts,2025-03-15 22:55:08.370,14,Maadi,Found
2697,9782376660637,El-Gazzar,10142-E Artists A-Z,2025-03-15 22:57:20.913,14,Maadi,Found
2698,9786010054813,أم كلثوم,10002-A Arts,2025-03-15 22:57:58.690,14,Maadi,Found
2699,9781838858636,The Creative Act: A,10208-E Modern Philosophy,2025-03-15 23:01:59.590,14,Maadi,Found
2700,9781786330895,Ikigai,10162-E Eastern Philosophy,2025-03-15 23:03:25.167,14,Maadi,Found
2701,9786010030916,The JLG Trifold Wall,10286-General Personal Accessories,2025-03-15 23:03:49.920,14,Maadi,Found
2702,6223004037658,Cherry Candle,10075-Candles,2025-03-15 23:18:16.750,3,Heliopolis,Found
2703,9789774164163,Art of the Pharaohs,10163-E Egypt Essentials,2025-03-15 23:19:36.293,2,Zamalek,Found
2704,9789774164163,Art of the Pharaohs,10163-E Egypt Essentials,2025-03-15 23:19:41.773,2,Zamalek,Found
2705,9789774164163,Art of the Pharaohs,10163-E Egypt Essentials,2025-03-15 23:19:48.033,2,Zamalek,Found
2706,9789778241068,اوراق شمعون المصرى,10029-A Modern Fiction,2025-03-15 23:29:39.957,2,Zamalek,Found
2707,6223004037658,Cherry Candle,,2025-03-16 00:43:09.273,3,Heliopolis,Not Found
2708,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:09.840,3,Heliopolis,Not Found
2709,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:11.690,3,Heliopolis,Not Found
2710,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:12.660,3,Heliopolis,Not Found
2711,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:14.527,3,Heliopolis,Not Found
2712,6223004037658,Cherry Candle,,2025-03-16 00:43:24.867,3,Heliopolis,Not Found
2713,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:25.487,3,Heliopolis,Not Found
2714,6223004037658,Cherry Candle,,2025-03-16 00:43:27.420,3,Heliopolis,Not Found
2715,6223004037658,Cherry Candle,,2025-03-16 00:43:28.073,3,Heliopolis,Not Found
2716,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:29.990,3,Heliopolis,Not Found
2717,6223004037658,Cherry Candle,,2025-03-16 00:43:30.613,3,Heliopolis,Not Found
2718,6223004037658,Cherry Candle,,2025-03-16 00:43:32.470,3,Heliopolis,Not Found
2719,6223004037658,Cherry Candle,,2025-03-16 00:43:33.077,3,Heliopolis,Not Found
2720,6223004037658,Cherry Candle,,2025-03-16 00:43:34.950,3,Heliopolis,Not Found
2721,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:35.580,3,Heliopolis,Not Found
2722,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:37.453,3,Heliopolis,Not Found
2723,6223004037658,Cherry Candle,,2025-03-16 00:43:38.083,3,Heliopolis,Not Found
2724,6223004037658,Cherry Candle,,2025-03-16 00:43:39.937,3,Heliopolis,Not Found
2725,6223004037658,Cherry Candle,,2025-03-16 00:43:40.590,3,Heliopolis,Not Found
2726,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:42.467,3,Heliopolis,Not Found
2727,6223004037658,Cherry Candle,,2025-03-16 00:43:43.047,3,Heliopolis,Not Found
2728,6223004037658,Cherry Candle,,2025-03-16 00:43:44.897,3,Heliopolis,Not Found
2729,6223004037658,Cherry Candle,,2025-03-16 00:43:45.437,3,Heliopolis,Not Found
2730,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:47.220,3,Heliopolis,Not Found
2731,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:47.857,3,Heliopolis,Not Found
2732,6223004037658,Cherry Candle,,2025-03-16 00:43:49.720,3,Heliopolis,Not Found
2733,6223004037658,Cherry Candle,,2025-03-16 00:43:50.257,3,Heliopolis,Not Found
2734,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:52.037,3,Heliopolis,Not Found
2735,6223004037658,Cherry Candle,,2025-03-16 00:43:52.660,3,Heliopolis,Not Found
2736,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:54.450,3,Heliopolis,Not Found
2737,6223004037658,Cherry Candle,,2025-03-16 00:43:55.063,3,Heliopolis,Not Found
2738,6223004037658,Cherry Candle,,2025-03-16 00:43:57.037,3,Heliopolis,Not Found
2739,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:43:57.670,3,Heliopolis,Not Found
2740,6223004037658,Cherry Candle,,2025-03-16 00:43:59.543,3,Heliopolis,Not Found
2741,6223006024717,Mini Puzzle - Papyri,,2025-03-16 00:44:00.193,3,Heliopolis,Not Found
